"term","coef"
"(Intercept)",0.567215012770443
"f0",-0.00203909661814674
"f1",-0.00466227363560805
"f2",-7.98892166741735e-05
"f3",-0.0051303918289477
"f4",-0.00173651871091617
"f5",0.00139133868020683
"f6",0.00021187156546119
"f7",0.00202598422628434
"f8",-0.00530432766145832
"f9",-0.00627914490119896
"f10",0.00216369241383734
"f11",-0.0038545521455213
"f12",0.000510162522503302
"f13",0.00183602897431665
"f14",0.00970258745564771
"f15",0.000289400898108605
"f16",0.00262949991144998
"f17",-0.00151350637226109
"f18",0.00894956607878944
"f19",-0.00953733436078086
"f20",0.0126896400526742
"f21",-0.0014256629593246
"f22",0.000253240277159183
"f23",-0.00603820116538913
"f24",-3.78351290584969e-05
"f25",-0.00335985068724562
"f26",-0.00162368451607304
"f27",0.00582595061188698
"f28",-0.0136908876823257
"f29",-0.000898556340090009
"f30",-0.000142706753436669
"f31",0.00221843827854768
"f32",0.00315529050252755
"f33",-0.00179788844893929
"f34",0.00133560218736479
"f35",0.00963943815948562
"f36",-0.00512198682331117
"f37",0.0127146329107648
"f38",-0.000973172271443837
"f39",-0.0099583546256941
"f40",3.68072158102313e-05
"f41",0.00603440072943001
"f42",-0.00956902162227651
"f43",0.00316505855850561
"f44",0.000203777059002969
"f45",0.000554086423772147
"f46",0.0063235004336013
"f47",0.00769184578337383
"f48",3.75895417321337e-05
"f49",-0.00359434246503481
"f50",-0.00523435680647573
"f51",0.00460461289378537
"f52",-0.0017097858964346
"f53",0.00485005797218135
"f54",-0.000472296983835844
"f55",-0.00555282904722824
"f56",-0.00190366772978336
"f57",0.00130854027939076
"f58",-0.000139307782476311
"f59",0.00637127986091143
"f60",0.00717857257982589
"f61",-0.0020276781480139
"f62",-0.00139591893256723
"f63",-0.00101372505120663
"f64",-2.68289323967257e-06
"f65",0.00102863148130096
"f66",0.00734647564305501
"f67",-5.93797116114328e-05
"f68",-0.00230257065478956
"f69",-0.00322443514900233
"f70",0.00474075854294391
"f71",-0.000836897495855608
"f72",-0.00435619226426441
"f73",-0.00615308067072008
"f74",-0.000427302302518304
"f75",0.00120393020537616
"f76",0.0113804715108912
"f77",0.00506986318097219
"f78",-0.00443347787901282
"f79",-0.000762683982739982
"f80",-0.0013282294341952
"f81",-0.00443897604219578
"f82",0.00118081284860078
"f83",-0.00152552212793736
"f84",-0.00250123501321712
"f85",-0.0105726166767868
"f86",-0.00325128010736825
"f87",-0.00500858492064448
"f88",-0.00570645485746299
"f89",-0.00149754947681435
"f90",-0.00409838161477501
"f91",0.000193302046907983
"f92",0.00206671296295226
"f93",0.00615527839860205
"f94",0.00157828029398334
"f95",0.00281502630452211
"f96",-0.000621606352187907
"f97",-6.66618657006837e-05
"f98",0.00129854791349736
"f99",0.000933398153289376
"f100",0.0011207511467288
"f101",-0.00172025107851245
"f102",5.94529495401715e-06
"f103",-0.00140278562616962
"f104",0.00779708179225896
"f105",-0.00315258567377958
"f106",0.000759094046810482
"f107",-0.00156231012397919
"f108",-0.00142238826616241
"f109",0.00455851813756118
"f110",0.0157887301155783
"f111",0.00312490743547596
"f112",-0.000145850406668626
"f113",0.00632176532396659
"f114",-0.00557141813848413
"f115",-0.00801311958763678
"f116",-0.00770839407426184
"f117",0.00754300002471668
"f118",-0.00115108514762693
"f119",-0.00221286352261861
"f120",-0.000540409145462197
"f121",-0.00450360010597045
"f122",-0.00113151254103466
"f123",0.0108999397409721
"f124",-0.00441874965510238
"f125",0.00134790331999083
"f126",-0.00340139323152662
"f127",0.000844523688938892
"f128",0.0062059989189366
"f129",-0.0126978074779597
"f130",-0.00627658966956219
"f131",-0.00197042227607303
"f132",0.00480490088797643
"f133",0.000695760043397471
"f134",0.00427329932069812
"f135",-0.00355769208494768
"f136",-0.00860852155930612
"f137",0.00951076694133345
"f138",-0.00770589609017568
"f139",-0.00724490518272412
"f140",-0.0118955357541479
"f141",0.00150401207600143
"f142",-0.000449081483638169
"f143",0.00232012878861627
"f144",0.00156143572142878
"f145",0.00272115491113613
"f146",0.000867502380354374
"f147",-0.00454710768565787
"f148",0.0013031531578849
"f149",-0.00195951915574218
"f150",0.00407277871399938
"f151",-0.00871318241216868
"f152",0.00511591775762759
"f153",-0.00126188080556912
"f154",0.00369781914010718
"f155",0.000947711466650281
"f156",-0.00107064339458989
"f157",-0.00721607755605539
"f158",-0.00356931197894701
"f159",0.00257512558268883
"f160",-0.000950527998434642
"f161",0.00173267359291377
"f162",0.00267654402114229
"f163",-0.000495282808102825
"f164",-0.00310232608311019
"f165",-0.000814365018763662
"f166",-0.0141452118633905
"f167",0.001191909328963
"f168",-0.00312172761896446
"f169",0.00230821118771626
"f170",-0.000170246230354124
"f171",0.000988597903901551
"f172",-0.00280919986466127
"f173",0.00185233921028912
"f174",0.00183467322768119
"f175",0.00264819471780591
"f176",-0.000763724930311411
"f177",-0.00249005360857766
"f178",-0.00134473255154531
"f179",0.000379608849933906
"f180",0.00191535883289577
"f181",-0.00165643250903006
"f182",-0.000118722386122006
"f183",-0.00260961062057762
"f184",-0.00781683474700872
"f185",-0.0049944927093649
"f186",-0.00984160764812558
"f187",-0.00190420458604724
"f188",-0.00379590397248219
"f189",-0.00664209955001582
"f190",-0.00219026747146122
"f191",-0.00597498137681299
"f192",0.00083183331148379
"f193",0.00667805972882254
"f194",-0.00243803754115251
"f195",-0.0051222349678982
"f196",-0.00198478308855321
"f197",0.00255769916188902
"f198",0.00931844523766525
"f199",-0.000782547329202211
"f200",-0.000118865933817883
"f201",0.000603443375865866
"f202",-0.00175918508138435
"f203",-0.00189032055172948
"f204",-0.000562038366329058
"f205",0.00623380295017858
"f206",-0.0025954947841857
"f207",0.0036671492687361
"f208",0.00853748061329907
"f209",0.00265538487368161
"f210",0.00437309886007766
"f211",-0.000900801151673837
"f212",-0.00649460907769344
"f213",-0.00224615556387202
"f214",0.000806006811031187
"f215",-0.000815445733163782
"f216",0.000167994233679467
"f217",-0.00851375243372702
"f218",-0.00544504611781685
"f219",-0.00685341362055117
"f220",-0.000537500844251039
"f221",0.00367410536054158
"f222",-0.00135191135141136
"f223",0.00272111145636353
"f224",0.000715415835527582
"f225",0.000621622121814646
"f226",0.00476216139529767
"f227",0.00674904258097697
"f228",0.000721407235366761
"f229",0.0034410995276319
"f230",-0.00329415281518012
"f231",0.0105306665767422
"f232",0.00599458788270095
"f233",-0.0047606535843669
"f234",-0.00878434292559994
"f235",0.00106675403377216
"f236",-0.0189508394536188
"f237",0.000951957680289862
"f238",0.00480897347565261
"f239",0.00788342805409941
"f240",-0.00101499447234253
"f241",0.00198403286304991
"f242",-0.00375371298408
"f243",0.00454922631548527
"f244",-0.00462445349859576
"f245",-0.00496754574070988
"f246",0.00442318360062322
"f247",0.000678841118270142
"f248",-0.00313764395965756
"f249",-0.00688132551563953
"f250",-0.00101090183874615
"f251",-0.0050251647386547
"f252",0.00190036759292112
"f253",-0.00165924010710052
"f254",-0.0020251471053664
"f255",0.00972285178114936
"f256",-0.00715243325856458
"f257",-0.00320150867267365
"f258",0.0103488123344291
"f259",-0.00188423958834411
"f260",-0.00245484744907353
"f261",0.0023962650662813
"f262",0.00619791403877088
"f263",0.00277711496371775
"f264",-0.00738951778317978
"f265",0.0013808356357067
"f266",-0.00646388472691803
"f267",0.00124114704013315
"f268",-0.0011961844300935
