"ENSG","beta"
"ENSG00000213468.7",0.0450439512149777
"ENSG00000236499.2",0.102148740393684
"ENSG00000260296.1",0.163462897694212
"ENSG00000154556.18",-0.0216848618643732
"ENSG00000070748.19",0.0256493000870206
"ENSG00000138769.11",-0.0537911105978308
"ENSG00000144354.14",0.0452605798166909
"ENSG00000147509.14",0.0405484448085135
"ENSG00000064042.18",-0.0136484650381658
"ENSG00000108813.11",0.005974196735698
"ENSG00000237978.6",0.0395502397594415
"ENSG00000277435.1",0.0384398650134411
"ENSG00000176428.6",-0.0367310627070194
"ENSG00000109667.12",-0.043810739551643
"ENSG00000196581.11",-0.056708690610831
"ENSG00000114757.19",0.00366952575317348
"ENSG00000160870.15",-0.0561929440072873
"ENSG00000167612.13",0.0405819515001157
"ENSG00000251533.2",-0.0130824420965804
"ENSG00000141449.15",0.000813007389877538
"ENSG00000112139.16",0.00098791817080962
"ENSG00000230676.1",-0.0356500756448546
"ENSG00000206432.4",0.0387004430458024
"ENSG00000117707.16",0.00656265416947097
"ENSG00000265179.7",-0.00312819548385424
